,News,Tweet,Compound,Positive,Negative,Neutral,Tweet Ago
67,BBC,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",0.0,0.0,0.0,1.0,68
68,BBC,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,0.0,0.0,0.0,1.0,69
69,BBC,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",0.0,0.0,0.0,1.0,70
70,BBC,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",0.0,0.0,0.0,1.0,71
71,BBC,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",0.0,0.0,0.0,1.0,72
72,BBC,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",0.4215,0.128,0.0,0.872,73
73,BBC,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",0.2263,0.213,0.0,0.787,74
74,BBC,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",0.0,0.0,0.0,1.0,75
75,BBC,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",0.6369,0.231,0.0,0.769,76
76,BBC,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",0.6369,0.198,0.0,0.802,77
77,BBC,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",-0.34,0.0,0.112,0.888,78
78,BBC,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",-0.2714,0.0,0.099,0.901,79
79,BBC,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",0.0,0.0,0.0,1.0,80
80,BBC,RT @BBCOne: How easy is it to get help for mental health when you need it? 14-year-old Jess was refused treatment for anxiety but went on t…,0.2144,0.128,0.099,0.773,81
81,BBC,"RT @bbcdoctorwho: 1,2,3,4…. Thirteen #DoctorWho #Sheffield https://t.co/xaDWu2DmtF",0.0,0.0,0.0,1.0,82
82,BBC,"Papa… what? 🤔😂 

A new series of Letterbox starts today at 6pm on @BBCTwo. 
https://t.co/NLP3Hx0YSK https://t.co/c8myHijbdz",0.0,0.0,0.0,1.0,83
83,BBC,"✈️Is this one of the world's most beautiful airports?

https://t.co/ewqnUMEhZY https://t.co/aFxlQBAET6",0.6361,0.295,0.0,0.705,84
84,BBC,"So. Awkward. 🍗😳😂

When @lilyallen had to turn down chicken wings from @Drake... 

https://t.co/4pCjbGbUjY",-0.2247,0.0,0.127,0.873,85
85,BBC,"RT @bbcpress: Who were your #BluePeter presenters growing up? 🎂6⃣0⃣🎂 The @CBBC show will celebrate 60 years next month. Facts, interviews a…",0.6597,0.213,0.0,0.787,86
86,BBC,"Christina set up ‘Sandwich Angels’ to help feed Manchester’s homeless community. (Via @bbcthree)

https://t.co/Xq0WVgZFFe",0.4019,0.172,0.0,0.828,87
87,BBC,"""Girls have rights and I have rights to an education."" 💛

This young woman choose to teach instead of becoming a te… https://t.co/lFAjrelhXI",0.0,0.0,0.0,1.0,88
88,BBC,"😳😂 ""I'm going to leave it there because the lawyers are on the phone""

When @BBCSimonMcCoy sat down for a serious i… https://t.co/HAuyMtgM2c",-0.128,0.0,0.111,0.889,89
89,BBC,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",0.7184,0.231,0.0,0.769,90
90,BBC,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,0.0,0.0,0.0,1.0,91
91,BBC,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,0.0,0.0,0.0,1.0,92
92,BBC,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,0.0,0.0,0.0,1.0,93
93,BBC,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",0.128,0.124,0.103,0.773,94
94,BBC,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",-0.7398,0.0,0.288,0.712,95
